Family,Non-native Species,Establishment uncertain,oligolectic,General impacts (row color),Nesting Sites,Floral Resources,Pathogens/Parasites,Invasive Weeds,Alteration of Pollination Networks,Damage to Buildings,Change Pollination,EmpiricalRefs
Colletidae,Chilicola rostrata,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,NA,NA,
Colletidae,Hylaeus albonitens,FALSE,FALSE,see columns,NA,[76],NA,NA,NA,NA,NA,
Colletidae,Hylaeus hyalinatus,FALSE,FALSE,see columns,NA,NA,NA,[77],NA,NA,NA,
Colletidae,Hylaeus leptocephalus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Colletidae,Hylaeus punctatus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Colletidae,Hylaeus strenuus,FALSE,FALSE,see columns,NA,[14],NA,NA,NA,NA,NA,
Colletidae,Hylaeus Prosopis variegates,TRUE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Colletidae,Hyleoides concinna,FALSE,FALSE,see columns,[15],NA,NA,NA,NA,NA,NA,
Andrenidae,Andrena wilkella,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Halictus tectus,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum eleutherense,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum imbrex,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum impavidum,FALSE,FALSE,see columns,NA,[76],NA,NA,NA,NA,NA,
Halictidae,Lasioglossum leucozonium,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Lasioglossum microlepoides,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,NA,NA,
Halictidae,Nomia melanderi,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Afranthidium repetitum,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Anthidium manicatum,FALSE,FALSE,see columns,NA,[73] but see [78],[73],"[73,78]",NA,NA,NA,
Megachilidae,Anthidium oblongatum,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Anthidium vigintiduopunctatum,FALSE,FALSE,see columns,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Chelostoma campanularum,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Chelostoma rapunculi,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Coelioxys coturnix,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Heriades truncorum,FALSE,FALSE,only positive recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Hoplitis adunca,FALSE,FALSE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Hoplitis anthocopoides,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
Megachilidae,Lithurgus bractipes,FALSE,FALSE,see columns,NA,NA,NA,NA,[26],NA,NA,
Megachilidae,Lithurgus chrysurus,FALSE,TRUE,see columns,NA,NA,NA,NA,NA,"[71,72]",NA,
Megachilidae,Lithurgus huberi,FALSE,TRUE,no impacts recorded,NA,NA,NA,NA,NA,NA,NA,
